Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-09,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,UWI,UWI,UWI,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-05,UWI,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,UWI,UWI,UWI,1
MINNEAPOLIS W-2 P-05,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-05,UWI,undervote,undervote,1
MINNEAPOLIS W-2 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,UWI,undervote,1
MINNEAPOLIS W-2 P-05,Cam Gordon,UWI,UWI,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-10,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-03,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-03,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-03,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,UWI,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,UWI,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,UWI,UWI,UWI,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,UWI,UWI,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,UWI,UWI,UWI,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,UWI,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
MINNEAPOLIS W-2 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Cam Gordon,Cam Gordon,Cam Gordon,1
MINNEAPOLIS W-2 P-11,Cam Gordon,undervote,undervote,1
